ObjectsNames,ObjectsID,IdentifiedObject.name,DiscreteValue.Discrete,MeasurementValue.MeasurementValueSource,IdentifiedObject.aliasName,Switch.normalOpen,Equipment.EquipmentContainer,Measurement.measurementType,Measurement.PowerSystemResource,Terminal.sequenceNumber,Terminal.ConductingEquipment,Terminal.ConnectivityNode,ConnectivityNode.ConnectivityNodeContainer,AuxiliaryEquipment.Terminal,PowerSystemResource.AssetDatasheet,ConductingEquipment.BaseVoltage,Terminal.phases,VoltageLevel.BaseVoltage,VoltageLevel.Substation
Terminal,_a3b305053af5463d94f4d505e29c338b,T2,NA,NA,NA,NA,NA,NA,NA,2,#_5b5553e55fae40329d7104e0dfdfc40d,#_610dbd71f0514281882df28cf452fe60,NA,NA,NA,NA,NA,NA,NA
ConnectivityNode,_610dbd71f0514281882df28cf452fe60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,#_335c9aaa12c547a7a8f3dc7803e67cb0,NA,NA,NA,NA,NA,NA
CurrentTransformer,_3117188b7d64458e969fbe0141ac00d7,PPR,NA,NA,NA,NA,#_8da48a5d2f8b45a9bef38d96e9f8c88f,NA,NA,NA,NA,NA,NA,#_d60b74d8ca6747f0b15a68dfafa80aa6,#_5f5e7d2a397e428097a388c49bd3ea6d,NA,NA,NA,NA
Fuse,_387bac9b6db646d48bf6a73ce21165ce,Bezpiecznik,NA,NA,Bezpiecznik,false,#_5f4acfd990724ba9ba277093a85992a8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Discrete,_ce1ea278cf904ee497e336c535a3e580,Pos,NA,NA,NA,NA,NA,SwitchPosition,#_387bac9b6db646d48bf6a73ce21165ce,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Terminal,_b9dfbc03f2524c288033e277dab00897,T1,NA,NA,NA,NA,NA,NA,NA,1,#_387bac9b6db646d48bf6a73ce21165ce,#_db3681bd4ffb43b198c659861ae89bd8,NA,NA,NA,NA,NA,NA,NA
ConnectivityNode,_db3681bd4ffb43b198c659861ae89bd8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,#_c8bf7a8451474ea397ff882237ce184e,NA,NA,NA,NA,NA,NA
Terminal,_dc8d105298684e96bdcdb7d61bc06ea1,T2,NA,NA,NA,NA,NA,NA,NA,2,#_387bac9b6db646d48bf6a73ce21165ce,NA,NA,NA,NA,NA,NA,NA,NA
Fuse,_46b36260864246d8a08c5ba093b1f9db,Bezpiecznik,NA,NA,Bezpiecznik,false,#_e3439e4b45964e04a365b7d2a19e8391,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Discrete,_053ad2d67e054d03bf1a61f50c577352,Pos,NA,NA,NA,NA,NA,SwitchPosition,#_46b36260864246d8a08c5ba093b1f9db,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Terminal,_05892d1b8a2b47d1a9f4c675f70d970b,T1,NA,NA,NA,NA,NA,NA,NA,1,#_46b36260864246d8a08c5ba093b1f9db,#_d18975fae7134fc19300b90c0f657880,NA,NA,NA,NA,NA,NA,NA
ConnectivityNode,_d18975fae7134fc19300b90c0f657880,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,#_e216e28d70774a5e86bbde4d84a29ec2,NA,NA,NA,NA,NA,NA
Terminal,_9bf9567cbf5a4bf29714e6d908476837,T2,NA,NA,NA,NA,NA,NA,NA,NA,#_46b36260864246d8a08c5ba093b1f9db,NA,NA,NA,NA,NA,NA,NA,NA
Fuse,_c6a44aafa984477baab126ec2a23e2b1,Bezpiecznik,NA,NA,Bezpiecznik,false,#_b239dc9343fb457c85b3a9202c207039,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Discrete,_5af8c9dd006d43a385f75026d78530bb,Pos,NA,NA,NA,NA,NA,SwitchPosition,#_c6a44aafa984477baab126ec2a23e2b1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Terminal,_1198f34982d74eed8d6de173345d2cb5,T1,NA,NA,NA,NA,NA,NA,NA,1,#_c6a44aafa984477baab126ec2a23e2b1,#_b927ee504a6d468fb0d13a2f006c7e1a,NA,NA,NA,NA,NA,NA,NA
ConnectivityNode,_b927ee504a6d468fb0d13a2f006c7e1a,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,#_e216e28d70774a5e86bbde4d84a29ec2,NA,NA,NA,NA,NA,NA
Terminal,_a44f517b6d5b45929b2c2d83ba380438,T2,NA,NA,NA,NA,NA,NA,NA,NA,#_c6a44aafa984477baab126ec2a23e2b1,NA,NA,NA,NA,NA,NA,NA,NA
PotentialTransformer,_e06177ee4f9644cb92442379af74134e,VT1,NA,NA,NA,NA,#_99d28aca6e1b49b58c3094827ef06827,NA,NA,NA,NA,NA,NA,#_03fba03a92a748a99b7bb773a34f93b0,NA,NA,NA,NA,NA
PotentialTransformer,_d79afb330cae45f8aef6f0b375dea0f1,VT1,NA,NA,NA,NA,#_2e12ca6dbebc4e348196f2273b4b362d,NA,NA,NA,NA,NA,NA,#_ff976f1771c44aa68a4e191ee8cfb996,NA,NA,NA,NA,NA
PotentialTransformer,_c0c8db2695804b19a24bca476474a5b2,VT1,NA,NA,NA,NA,#_689e9ee2d22c417cb3176e1cd64efdf2,NA,NA,NA,NA,NA,NA,#_d54318f431d847d3a318f559f14930b6,NA,NA,NA,NA,NA
PotentialTransformer,_172dd584fa0e4eb2b6c4ed5dc66be506,VT1,NA,NA,NA,NA,#_dd0463c22b1341268555634923f77675,NA,NA,NA,NA,NA,NA,#_4d7afc6b0f10412db9ef45281547b88a,NA,NA,NA,NA,NA
